Gender,SSC Percentage,inter/Diploma perc,B.Tech perc,Backlogs,registered_for_ training,Placement status
M,87.3,65.3,40,18,No,Not placed
F,89,92.4,71.45,0,yes,placed
F,67,68,45.26,13,yes,Not placed
M,71,70.4,36.47,17,yes,Not placed
M,67,65.5,42.52,17,yes,Not placed
M,81.26,68,62.2,6,yes,Not placed
M,71,56.5,33.77,20,yes,Not placed
F,84.83,79.3,61.02,3,No,Not placed
M,75,89.6,53,10,yes,Not placed
M,79.9,75.5,51,8,yes,Not placed
F,82.33,76.3,71.49,0,No,placed
M,91,66,49.67272727,16,yes,Not placed
M,81.33,60.3,54.74,10,yes,Not placed
F,87.1,88.7,74.96,0,yes,placed
M,63.1,52.2,50.55,7,yes,Not placed
F,85.83,87,75.96,0,yes,placed
F,87,85,70.01,0,yes,Not placed
F,93.66,95.1,85.39,0,yes,placed
F,80.66,86.3,71.65,0,yes,placed
M,87.83,93.6,74.34,0,yes,placed
M,83.83,90.3,76.9,0,yes,placed
M,77.5,83.9,73.01,0,yes,Not placed
F,80.3,83,68.3,0,yes,Not placed
M,90.5,90.4,70.3,0,No,Not placed
M,86.16,87.2,54.18181818,9,yes,Not placed
M,74.5,78.3,55.82,9,yes,Not placed
M,87.1,81,61,0,yes,Not placed
M,55.66,65.3,38,25,yes,Not placed
F,64.3,67.1,64.36,1,yes,Not placed
M,72,88.1,69.6,0,yes,placed
F,87.33,96.5,74.25,0,yes,placed
M,72.17,77.7,58,5,yes,Not placed
F,79,88.9,71.94,0,yes,placed
M,76,80.1,42,19,yes,Not placed
F,86.6,78.4,65.7,1,yes,Not placed
M,87.33,90,68.7,0,yes,placed
M,82,91.4,75.42,0,yes,placed
F,91,94.3,72.68,0,yes,placed
M,74,76.8,51,14,yes,Not placed
M,83.5,88.8,67.5,0,yes,Not placed
M,88.16,91.4,72.74,0,yes,placed
F,75.33,61.2,58.67,4,yes,Not placed
M,81.1,67.5,45.45454545,14,yes,Not placed
M,86,92.5,70.85,0,yes,Not placed
F,82.3,83.7,69.48,0,yes,Not placed
F,87.5,84.4,72.57,0,yes,placed
F,83.5,76.9,59.53,3,yes,placed
M,77.16,89.1,67.06,0,yes,Not placed
M,66.16,77.2,52.0969697,8,yes,Not placed
F,85.33,93.8,77.5,1,yes,placed
F,87.42,92.2,78,0,yes,placed
M,79,79,55.49,7,yes,Not placed
M,82.9,73.4,52,9,yes,Not placed
M,72,84.5,67.21,0,yes,placed
M,85.5,83.6,60.35,3,yes,Not placed
F,87.33,92,70.85,0,No,placed
M,64,56.7,31.2,22,No,Not placed
M,72.5,67.8,52.31515152,5,yes,Not placed
F,90.3,93.7,77.95,0,yes,placed
F,90.66,94.7,81.1,0,yes,placed
F,81.83,85.6,60.72,6,No,Not placed
F,85.33,91.2,74.3,0,No,placed
M,77.33,76.5,52,7,No,Not placed
M,79.6,69.2,49.67272727,20,yes,Not placed
F,86,94.2,78.6,0,No,placed
F,90,91.6,72.4,0,yes,placed
F,83.66,90.4,72.47,0,yes,placed
F,86.66,89.9,75.13,0,yes,placed
M,85,61,52.55757576,6,No,Not placed
M,47.8,52.4,44.72430225,22,No,Not placed
F,90.33,95.6,80.47,0,yes,placed
M,79,93,59,2,yes,Not placed
F,81.83,83.7,68.9,0,yes,Not placed
M,88.16,80.1,63.41,1,No,placed
F,75.5,81.7,73.13,0,yes,Not placed
M,78.6,87.8,56.87272727,10,yes,Not placed
M,78,59,51.05454545,17,No,Not placed
F,74.16,91.7,73.09,1,No,Not placed
F,89,86,65.6,0,No,Not placed
M,70,81,57.74545455,3,No,Not placed
M,86,91.9,62.15151515,2,No,Not placed
F,84.84,91.6,70.09,0,No,placed
M,83.66,90.5,57.79393939,2,No,placed
M,89,88.9,63,1,No,Not placed
F,74,88.4,76.02,0,No,placed
F,87.33,83.8,69.48,0,No,placed
F,50.66,54.2,60.53,1,No,Not placed
M,82,73.6,42,11,No,Not placed
M,65.3,77.7,62.99,1,No,Not placed
F,83,83,62.97,1,No,Not placed
M,60.83,80.2,54,5,No,Not placed
M,83.16,79.9,68.7,0,No,Not placed
M,88.1,89.1,61.68,0,yes,Not placed
M,72,81,51,10,No,Not placed
M,89.33,88.6,69.62,0,No,placed
F,79.33,61.1,62.98,0,No,Not placed
F,92.33,96.9,88.1,0,yes,placed
F,76.83,80.4,72.73,0,yes,Not placed
F,88.3,93.9,78.6,0,No,placed
F,82.83,84.1,72.57,0,yes,Not placed
F,79.83,64.2,65.46,0,No,Not placed
F,82.66,89.6,83.38,0,No,placed
F,92.66,93.7,76.35,0,No,placed
M,88,67.9,53.26,9,No,Not placed
F,68.16,62.6,64.63,0,No,Not placed
M,84.1,73,57.3,0,No,Not placed
M,74.5,69.6,56.89,2,No,Not placed
M,83,81.01,58,1,No,Not placed
M,62,70.91,55.7,2,No,Not placed
M,81,73,42.16666667,15,No,Not placed
M,82.3,75.13,54.16,2,No,Not placed
M,63.66,69,61,1,No,Not placed
M,81.1,78.6,35.83333333,16,No,Not placed
M,81.3,85.12,68.5,0,No,Not placed
M,83.5,89.9,76.3,0,No,Not placed
M,85.5,90.63,74.5,0,No,Not placed
M,80,83.33,65.53,0,No,Not placed
